,composer_name,canonical_name,fastest_intervals,number_of_notes
343,Franz Schubert,"Sonata in D Major, D850","(371, 386.0)",292
344,Franz Schubert,"Sonata in D Major, D850","(611, 626.0)",240
345,Franz Schubert,"Sonata in D Major, D850","(65, 80.0)",244
346,Franz Schubert,"Sonata in D Major, D850","(101, 116.0)",269
347,Franz Schubert,"Sonata in D Major, D850","(173, 188.0)",288
348,Franz Schubert,Sonata in G Major D894,"(1522, 1537.0)",282
349,Franz Schubert,Sonata in G Major D894,"(1532, 1547.0)",300
350,Franz Schubert,Sonata in G Major D894,"(1623, 1638.0)",304
351,Franz Schubert,"Sonata in G Major, D 894","(590, 605.0)",177
352,Franz Schubert,"Sonata in G Major, D 894","(265, 280.0)",193
353,Franz Schubert,"Sonata in G Major, D 894","(79, 94.0)",278
354,Franz Schubert,"Sonata in G Major, D 894","(130, 145.0)",277
355,Franz Schubert,"Sonata in G Major, D. 894","(604, 619.0)",177
356,Franz Schubert,"Sonata in G Major, D. 894","(786, 801.0)",205
357,Franz Schubert,"Sonata in G Major, D. 895","(249, 264.0)",193
358,Franz Schubert,"Sonata in G Major, D. 895","(288, 303.0)",189
359,Franz Schubert,"Sonata in G Major, D. 896","(201, 216.0)",274
360,Franz Schubert,"Sonata in G Major, D. 896","(46, 61.0)",276
361,Franz Schubert,"Sonata in G Major, D. 897","(129, 144.0)",282
362,Franz Schubert,"Sonata in G Major, D. 897","(331, 346.0)",310
363,Franz Schubert,"Sonata in G Major, D894","(828, 843.0)",153
364,Franz Schubert,"Sonata in G Major, D894","(883, 898.0)",277
365,Franz Schubert,"Sonata in G Major, D894","(610, 625.0)",191
366,Franz Schubert,"Sonata in G Major, D894","(262, 277.0)",214
367,Franz Schubert,"Sonata in G Major, D894","(348, 363.0)",344
368,Franz Schubert / Franz Liszt,Die Forelle,"(136, 151.0)",290
369,Franz Schubert / Franz Liszt,"Fruelingsglaube, Die Junge Nonne","(313, 328.0)",353
370,Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig","(123, 138.0)",349
371,Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig","(106, 121.0)",293
372,Franz Schubert / Franz Liszt,"Staendchen from Schwannengesang, R245/7","(246, 261.0)",176
373,Franz Schubert / Franz Liszt,"Standchen, S. 558, NO. 9, ""Horch, horch! Die Lerch""","(116, 131.0)",296
374,Franz Schubert / Leopold Godowsky,Moment Musical Op. 94 No. 3 in F-sharp Minor,"(37, 52.0)",202
375,Fritz Kreisler / Sergei Rachmaninoff,Liebesfreud,"(266, 281.0)",377
376,Frédéric Chopin,"12 Etudes, Op. 25","(1181, 1196.0)",639
377,Frédéric Chopin,"12 Etudes, Op. 25","(170, 185.0)",362
378,Frédéric Chopin,"24 Preludes, Op. 28","(872, 887.0)",384
379,Frédéric Chopin,"Andante Spianato and Grand Polonaise Brilliante, Op. 22","(464, 479.0)",314
380,Frédéric Chopin,"Andante Spianato and Grand Polonaise Brilliante, Op. 22","(792, 807.0)",366
381,Frédéric Chopin,"Andante Spianato and Grande Polonaise Brillante, Op. 22","(364, 379.0)",352
382,Frédéric Chopin,"Andante Spianato and Grande Polonaise Brillante, Op. 22","(406, 421.0)",347
383,Frédéric Chopin,"Andante Spianato et Grande Polonaise Brillante, Op. 22","(384, 399.0)",299
384,Frédéric Chopin,"Andante Spianato et Grande Polonaise Brillante, Op. 22","(740, 755.0)",336
385,Frédéric Chopin,"Andante spianato e grande polonaise, Op. 22","(472, 487.0)",295
386,Frédéric Chopin,"Andante spianato e grande polonaise, Op. 22","(417, 432.0)",316
387,Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22","(390, 405.0)",335
388,Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22","(464, 479.0)",290
389,Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22","(400, 415.0)",319
390,Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22","(427, 442.0)",320
391,Frédéric Chopin,Ballade 4 Op. 52,"(548, 563.0)",343
392,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(477, 492.0)",367
393,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(476, 491.0)",338
394,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(443, 458.0)",347
395,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(446, 461.0)",348
396,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(517, 532.0)",329
397,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(437, 452.0)",389
398,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(450, 465.0)",346
399,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(458, 473.0)",359
400,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(437, 452.0)",378
401,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23","(487, 502.0)",366
402,Frédéric Chopin,Ballade No. 2 in F Major,"(296, 311.0)",398
403,Frédéric Chopin,"Ballade No. 2 in F Major, Op. 38","(385, 400.0)",385
404,Frédéric Chopin,"Ballade No. 2 in F Major, Op. 38","(365, 380.0)",363
405,Frédéric Chopin,"Ballade No. 2 in F Major, Op. 38","(413, 428.0)",424
406,Frédéric Chopin,"Ballade No. 3 in A-flat Major, Op. 47","(316, 331.0)",383
407,Frédéric Chopin,"Ballade No. 3 in A-flat Major, Op. 47","(321, 336.0)",373
408,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(545, 560.0)",356
409,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(594, 609.0)",307
410,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(592, 607.0)",345
411,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(559, 574.0)",345
412,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(553, 568.0)",332
413,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52","(620, 635.0)",304
414,Frédéric Chopin,"Ballade No. 4 in F minor, Op. 52","(609, 624.0)",331
415,Frédéric Chopin,Barcarolle in F#,"(393, 408.0)",312
416,Frédéric Chopin,"Barcarolle in F-sharp Major, Op. 60","(403, 418.0)",309
417,Frédéric Chopin,"Barcarolle, Op. 60","(449, 464.0)",285
418,Frédéric Chopin,"Barcarolle, Op. 60","(374, 389.0)",310
419,Frédéric Chopin,"Barcarolle, Op. 60","(428, 443.0)",293
420,Frédéric Chopin,"Barcarolle, Op. 60","(416, 431.0)",289
421,Frédéric Chopin,"Complete Etudes, Opus 25","(697, 712.0)",405
422,Frédéric Chopin,"Complete Etudes, Opus 25","(210, 225.0)",446
423,Frédéric Chopin,Etude Op. 10 No. 1,"(1, 16.0)",194
424,Frédéric Chopin,Etude Op. 10 No. 1,"(1, 16.0)",201
425,Frédéric Chopin,Etude Op. 10 No. 1,"(69, 84.0)",226
426,Frédéric Chopin,Etude Op. 10 No. 1,"(49, 64.0)",199
427,Frédéric Chopin,Etude Op. 10 No. 1,"(1, 16.0)",208
428,Frédéric Chopin,Etude Op. 10 No. 1 in C Major,"(2, 17.0)",194
429,Frédéric Chopin,Etude Op. 10 No. 1 in C Major,"(52, 67.0)",181
430,Frédéric Chopin,Etude Op. 10 No. 1 in C Major,"(2, 17.0)",196
431,Frédéric Chopin,Etude Op. 10 No. 10 in A-flat Major,"(7, 22.0)",329
432,Frédéric Chopin,Etude Op. 10 No. 2,"(12, 27.0)",286
433,Frédéric Chopin,Etude Op. 10 No. 2,"(9, 24.0)",342
434,Frédéric Chopin,Etude Op. 10 No. 2 in A Minor,"(55, 70.0)",309
435,Frédéric Chopin,Etude Op. 10 No. 4,"(50, 65.0)",328
436,Frédéric Chopin,Etude Op. 10 No. 4,"(48, 63.0)",348
437,Frédéric Chopin,Etude Op. 10 No. 4 in C-Sharp Minor,"(101, 116.0)",342
438,Frédéric Chopin,Etude Op. 10 No. 4 in C-Sharp Minor,"(1, 16.0)",337
439,Frédéric Chopin,Etude Op. 10 No. 4 in C-Sharp Minor,"(102, 117.0)",309
440,Frédéric Chopin,Etude Op. 10 No. 4 in C-sharp Minor,"(102, 117.0)",337
441,Frédéric Chopin,Etude Op. 10 No. 4 in C-sharp Minor,"(52, 67.0)",317
442,Frédéric Chopin,Etude Op. 10 No. 4 in C-sharp Minor,"(50, 65.0)",324
443,Frédéric Chopin,Etude Op. 10 No. 4 in C-sharp Minor,"(69, 84.0)",323
444,Frédéric Chopin,Etude Op. 10 No. 8,"(74, 89.0)",318
445,Frédéric Chopin,Etude Op. 10 No. 8,"(64, 79.0)",355
446,Frédéric Chopin,Etude Op. 10 No. 8 in F Major,"(70, 85.0)",311
447,Frédéric Chopin,Etude Op. 10 No. 8 in F Major,"(68, 83.0)",332
448,Frédéric Chopin,Etude Op. 10 No. 8 in F Major,"(78, 93.0)",295
449,Frédéric Chopin,Etude Op. 25 No. 1,"(109, 124.0)",268
450,Frédéric Chopin,Etude Op. 25 No. 1,"(50, 65.0)",273
451,Frédéric Chopin,Etude Op. 25 No. 1 in A-flat Major,"(24, 39.0)",236
452,Frédéric Chopin,Etude Op. 25 No. 1 in A-flat Major,"(3, 18.0)",247
453,Frédéric Chopin,Etude Op. 25 No. 10,"(22, 37.0)",529
454,Frédéric Chopin,Etude Op. 25 No. 10 in B Minor,"(16, 31.0)",599
455,Frédéric Chopin,Etude Op. 25 No. 10 in B Minor,"(20, 35.0)",631
456,Frédéric Chopin,Etude Op. 25 No. 10 in B Minor,"(5, 20.0)",489
457,Frédéric Chopin,Etude Op. 25 No. 11,"(193, 208.0)",327
458,Frédéric Chopin,Etude Op. 25 No. 11,"(187, 202.0)",309
459,Frédéric Chopin,Etude Op. 25 No. 11,"(171, 186.0)",356
460,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(211, 226.0)",294
461,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(175, 190.0)",356
462,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(194, 209.0)",316
463,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(191, 206.0)",339
464,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(173, 188.0)",364
465,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,"(196, 211.0)",308
466,Frédéric Chopin,Etude Op. 25 No. 12,"(56, 71.0)",331
467,Frédéric Chopin,Etude Op. 25 No. 12,"(1, 16.0)",303
468,Frédéric Chopin,Etude Op. 25 No. 12 in C Minor,"(112, 127.0)",378
469,Frédéric Chopin,Etude Op. 25 No. 5 in E Minor,"(137, 152.0)",288
470,Frédéric Chopin,Etude Op. 25 No. 6,"(54, 69.0)",438
471,Frédéric Chopin,Etude Op. 25 No. 6,"(51, 66.0)",445
472,Frédéric Chopin,Etude Op. 25 No. 6 in G-sharp Minor,"(51, 66.0)",437
473,Frédéric Chopin,Etude Op. 25 No. 6 in G-sharp Minor,"(48, 63.0)",413
474,Frédéric Chopin,"Etude in A Minor, Op. 25, No. 11","(198, 213.0)",324
475,Frédéric Chopin,"Etude in F Major, Op. 10, No. 8","(79, 94.0)",317
476,Frédéric Chopin,Etudes Op. 10 Nos. 8,"(73, 88.0)",319
477,Frédéric Chopin,Etudes Op. 25 Nos. 1-5,"(251, 266.0)",314
478,Frédéric Chopin,Mazurka Op. 50 No. 3 in C-sharp Minor,"(180, 195.0)",164
479,Frédéric Chopin,"Mazurka in C-sharp Minor, Op. 50 No. 3","(133, 148.0)",177
480,Frédéric Chopin,"Nocturne in C-Sharp Minor, Op. Posth.","(185, 200.0)",120
481,Frédéric Chopin,"Preludes, Book II, L 123, VI. Général Lavine - eccentric","(78, 93.0)",137
482,Frédéric Chopin,"Preludes, Op.28","(970, 985.0)",382
483,Frédéric Chopin,"Scherzo No. 2 in B-Flat Minor, Op.31","(560, 575.0)",317
484,Frédéric Chopin,"Scherzo No. 2 in B-flat Major, Op. 31","(561, 576.0)",291
485,Frédéric Chopin,"Scherzo No. 2 in B-flat Major, Op. 31","(542, 557.0)",300
486,Frédéric Chopin,"Scherzo No. 2 in B-flat Major, Op. 31","(426, 441.0)",279
487,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(531, 546.0)",305
488,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(479, 494.0)",317
489,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(406, 421.0)",306
490,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(394, 409.0)",350
491,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(563, 578.0)",297
492,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op. 31","(558, 573.0)",318
493,Frédéric Chopin,"Scherzo No. 2 in B-flat Minor, Op.31","(416, 431.0)",289
494,Frédéric Chopin,Scherzo No. 3,"(386, 401.0)",296
495,Frédéric Chopin,"Scherzo No. 3 in C-sharp Minor, Op. 39","(39, 54.0)",283
496,Frédéric Chopin,"Scherzo No. 4  in E Major, Op. 54","(663, 678.0)",279
497,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(616, 631.0)",305
498,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(672, 687.0)",284
499,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(601, 616.0)",320
500,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(407, 422.0)",283
501,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(646, 661.0)",301
502,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(632, 647.0)",293
503,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(637, 652.0)",304
504,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(611, 626.0)",327
505,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(601, 616.0)",289
506,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54","(636, 651.0)",289
507,Frédéric Chopin,Sonata 3 Op. 58,"(1384, 1399.0)",380
508,Frédéric Chopin,Sonata No. 3,"(1539, 1554.0)",289
509,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58","(256, 271.0)",260
510,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58","(15, 30.0)",247
511,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58","(705, 720.0)",317
512,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58","(1606, 1621.0)",286
513,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58","(1538, 1553.0)",297
514,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58 (Complete)","(1487, 1502.0)",345
515,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58 (Complete)","(1413, 1428.0)",362
516,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, 1st mov.","(274, 289.0)",237
517,Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, I. Allegro maestoso","(261, 276.0)",256
518,Frédéric Chopin,"Sonata in B Minor, Op. 58","(1384, 1399.0)",355
519,Frédéric Chopin,"Two Preludes from Op. 28, Nos. 15 and 24","(158, 173.0)",134
520,Frédéric Chopin,"Two Preludes from Op. 28, Nos. 15 and 24","(75, 90.0)",297
521,George Enescu,Suite Op. 10,"(1305, 1320.0)",387
522,George Frideric Handel,Chaconne in G,"(231, 246.0)",233
523,George Frideric Handel,"Chaconne in G Major, HWV 435","(305, 320.0)",215
524,George Frideric Handel,"Suite No. 2 in F Major, HWV 427 (Complete)","(174, 189.0)",188
525,George Frideric Handel,Suite No. 3 in D Minor,"(592, 607.0)",243
526,George Frideric Handel,Suite No. 3 in D Minor,"(673, 688.0)",218
527,Georges Bizet / Ferruccio Busoni,"Sonatina No. 6, BV284 “Fantasia da Camera super Carmen”","(1, 16.0)",435
528,Georges Bizet / Moritz Moszkowski,"Chanson Boheme de l'Opera ""Carmen"" by Georges Bizet","(308, 323.0)",403
529,Georges Bizet / Vladimir Horowitz,Carmen Variations,"(212, 227.0)",452
530,Giuseppe Verdi / Franz Liszt,Rigoletto Parap.,"(318, 333.0)",377
531,Henry Purcell,"Suite in C Major, Z. 666 (Complete)","(7, 22.0)",148
532,Isaac Albéniz,Asturias,"(240, 255.0)",286
533,Isaac Albéniz,"Evocacion from ""Iberia""","(161, 176.0)",154
534,Isaac Albéniz,Iberia Book II,"(1120, 1135.0)",309
535,Isaac Albéniz,"Iberia, Evocation, Triana","(168, 183.0)",150
536,Isaac Albéniz,"Iberia, Evocation, Triana","(157, 172.0)",314
537,Isaac Albéniz,Navarra,"(111, 126.0)",333
538,Isaac Albéniz,Triana from 'Iberia',"(144, 159.0)",335
539,Isaac Albéniz / Leopold Godowsky,Tango,"(63, 78.0)",150
540,Jean-Philippe Rameau,RameauSelections,"(284, 299.0)",178
541,Johann Christian Fischer / Wolfgang Amadeus Mozart,12 Variations on a Theme from a Menuet by Fischer,"(648, 663.0)",227
542,Johann Pachelbel,Chaconne in F Minor,"(118, 133.0)",80
543,Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903","(602, 617.0)",226
544,Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903","(698, 713.0)",219
545,Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903","(500, 515.0)",209
546,Johann Sebastian Bach,"Duet in E Minor, BWV 802","(22, 37.0)",153
547,Johann Sebastian Bach,"Duet in G, BWV 804","(95, 110.0)",190
548,Johann Sebastian Bach,"English Suite No. 2  in A Minor, BWV 807, I. Prelude","(151, 166.0)",195
549,Johann Sebastian Bach,"English Suite in A Minor, BWV 807","(126, 141.0)",227
550,Johann Sebastian Bach,"English Suite in A Minor, BWV 807","(793, 808.0)",247
551,Johann Sebastian Bach,"English Suite no. 3 in G Minor, Prelude","(7, 22.0)",250
552,Johann Sebastian Bach,French Suite No. 5 in G Major,"(225, 240.0)",223
553,Johann Sebastian Bach,French Suite No. 5 in G Major,"(220, 235.0)",218
554,Johann Sebastian Bach,French Suite No. 5 in G Major,"(93, 108.0)",218
555,Johann Sebastian Bach,"Italian Concerto in F Major, BWV 971 (Complete)","(139, 154.0)",211
556,Johann Sebastian Bach,"Italian Concerto, BWV 971","(126, 141.0)",244
557,Johann Sebastian Bach,"Italian Concerto, BWV 971 (Complete)","(125, 140.0)",213
558,Johann Sebastian Bach,"Partita No. 1 in B-Flat Major, BWV 825 (Complete)","(304, 319.0)",196
559,Johann Sebastian Bach,"Partita No. 2 in C Minor, I. Sinfonia","(235, 250.0)",207
560,Johann Sebastian Bach,"Partita No. 4 in D Major, BWV 828","(1068, 1083.0)",232
561,Johann Sebastian Bach,Partita No. 6 in E Minor,"(1091, 1106.0)",176
562,Johann Sebastian Bach,"Partita in C Minor, BWV 826","(234, 249.0)",212
563,Johann Sebastian Bach,Prelude & Fugue,"(435, 450.0)",320
564,Johann Sebastian Bach,Prelude & Fugue,"(223, 238.0)",105
565,Johann Sebastian Bach,"Prelude & Fugue in B flat minor, Book I, BWV 867","(121, 136.0)",104
566,Johann Sebastian Bach,"Prelude & Fugue in G Minor, WTK II","(258, 273.0)",227
567,Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC I, BWV 864","(145, 160.0)",174
568,Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC II, BWV 888","(148, 163.0)",210
569,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865","(179, 194.0)",183
570,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865","(195, 210.0)",188
571,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865","(210, 225.0)",183
572,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II,  BWV 889","(199, 214.0)",176
573,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 847","(179, 194.0)",180
574,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889","(202, 217.0)",165
575,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889","(208, 223.0)",172
576,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889","(200, 215.0)",155
577,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889","(185, 200.0)",194
578,Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889","(174, 189.0)",177
579,Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC II, BWV 892","(47, 62.0)",183
580,Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC II, BWV 892","(55, 70.0)",169
581,Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II","(149, 164.0)",190
582,Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II","(151, 166.0)",207
583,Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II, BWV 893","(160, 175.0)",192
584,Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867","(249, 264.0)",105
585,Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867","(117, 132.0)",106
586,Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867","(142, 157.0)",94
587,Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867","(136, 151.0)",93
588,Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC  II, BWV 870","(157, 172.0)",204
589,Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 846","(221, 236.0)",224
590,Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 870","(190, 205.0)",190
591,Johann Sebastian Bach,"Prelude and Fugue in C Minor, WTC II, BWV 871","(34, 49.0)",159
592,Johann Sebastian Bach,"Prelude and Fugue in C sharp major, WTC I, BWV 848","(155, 170.0)",195
593,Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848","(1, 16.0)",195
594,Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848","(155, 170.0)",194
595,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, BWV 848","(160, 175.0)",194
596,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I","(137, 152.0)",219
597,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I","(151, 166.0)",199
598,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848","(5, 20.0)",183
599,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848","(16, 31.0)",191
600,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848","(15, 30.0)",207
601,Johann Sebastian Bach,"Prelude and Fugue in D Major, Book II","(82, 97.0)",204
602,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC II, BWV 874","(50, 65.0)",184
603,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC II, BWV 874","(92, 107.0)",192
604,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC II, BWV 874","(63, 78.0)",196
605,Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC II, BWV 874","(95, 110.0)",91
606,Johann Sebastian Bach,"Prelude and Fugue in D Minor, WTC I, BWV 851","(2, 17.0)",151
607,Johann Sebastian Bach,"Prelude and Fugue in D-flat Major, WTC I, BWV 848","(154, 169.0)",198
608,Johann Sebastian Bach,"Prelude and Fugue in D-flat Major, WTC I, BWV 848","(176, 191.0)",178
609,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854","(105, 120.0)",203
610,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854","(91, 106.0)",200
611,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854","(98, 113.0)",203
612,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854","(97, 112.0)",194
613,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854","(89, 104.0)",184
614,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854  ","(126, 141.0)",187
615,Johann Sebastian Bach,"Prelude and Fugue in E-flat Major, WTC I","(298, 313.0)",173
616,Johann Sebastian Bach,"Prelude and Fugue in E-flat Major, WTC II, BWV 876","(204, 219.0)",155
617,Johann Sebastian Bach,"Prelude and Fugue in E-flat Major, WTC II, BWV 876","(22, 37.0)",142
618,Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor WTC I, BWV 853","(378, 393.0)",86
619,Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853","(156, 171.0)",100
620,Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853","(378, 393.0)",93
621,Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853","(54, 69.0)",84
622,Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853","(44, 59.0)",94
623,Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC I, BWV 856","(25, 40.0)",263
624,Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC II","(254, 269.0)",182
625,Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC II, BWV 880","(286, 301.0)",187
626,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I","(272, 287.0)",126
627,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(253, 268.0)",132
628,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(286, 301.0)",127
629,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(7, 22.0)",98
630,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(134, 149.0)",140
631,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(270, 285.0)",127
632,Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857","(284, 299.0)",132
633,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I","(31, 46.0)",226
634,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I","(31, 46.0)",230
635,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I","(32, 47.0)",231
636,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I","(32, 47.0)",229
637,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I, BWV 860","(28, 43.0)",240
638,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I, BWV 860","(32, 47.0)",224
639,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I, BWV 860","(31, 46.0)",232
640,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC II, BWV 884","(112, 127.0)",228
641,Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II","(284, 299.0)",179
642,Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II,  BWV 885","(253, 268.0)",214
643,Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II, BWV 885","(279, 294.0)",216
644,Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II, BWV 885","(14, 29.0)",47
645,Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC II, BWV 887","(35, 50.0)",203
646,Johann Sebastian Bach,Prelude from English Suite No. 3 in G Major,"(132, 147.0)",231
647,Johann Sebastian Bach,"Prelude from English Suite No. 6 in D Minor, BWV 811","(287, 302.0)",206
648,Johann Sebastian Bach,"Prelude from the English Suite No. 1 in A Major, BWV 806","(73, 88.0)",220
